Very Big Shot,"00:05:26,833 --> 00:05:28,583",بيتزا رويال,شربل
Very Big Shot,"00:05:50,458 --> 00:05:53,417",بعد خمس سنوات,بوق السيارة
Very Big Shot,"00:09:36,917 --> 00:09:38,708",اهدأ أبق هذه معك,اللعنة زياد اتفقنا على إنهاء الأمر
Very Big Shot,"00:15:10,417 --> 00:15:11,625",باب السيارة يغلق,موسيقا
Very Big Shot,"00:19:09,042 --> 00:19:12,583",هل أترك أغراضي هنا؟  لا، خذ أغراضك معك,سنلتقي في بيت الجماعة  حسنا
Very Big Shot,"00:20:10,167 --> 00:20:11,500",أخوات عاهرة,يلهث
Very Big Shot,"00:20:19,250 --> 00:20:20,833",تشغيل المحرك,يستمر في اللهاث
Very Big Shot,"00:21:38,000 --> 00:21:39,750",يهمهم بصوت منخفض,يستمر في التنفس بثقل
Very Big Shot,"00:43:52,792 --> 00:43:56,500",موسيقا,مذيعة تقرأ أخبار
Very Big Shot,"01:05:02,500 --> 01:05:06,458",عدل المشهد وصحح لي النص كله,أنا سأقود التصوير
Very Big Shot,"01:12:58,792 --> 01:13:00,708",صوت محرك  سيارة تتحرك مغادرة,انزلوا اشربوا القهوة
Very Big Shot,"01:20:24,917 --> 01:20:26,083",هل الطعام طيب؟,نعم فلتأكل
Stray Bullet,"00:10:50,960 --> 00:10:56,680",نهى، إلى أين تذهبين؟ إنها الظهيرة الجو حار جدًا,أجيبي يا نهى
Stray Bullet,"00:22:06,240 --> 00:22:07,720",أنا لا أبكي,أنا لا أبكي كي تطيب خاطري يا جوزيف
Stray Bullet,"00:22:21,200 --> 00:22:23,560",إنها غلطتي ما كان يجب أن أفعل ذلك,ما كان يجب أن أتصل بك ولم يكن علينا أن نتقابل
Stray Bullet,"00:30:01,120 --> 00:30:03,920",أحسنت يا ابنتي أحسنت يا نهى,أين كنت؟ بحثنا عنك في كل مكان
Stray Bullet,"00:39:05,240 --> 00:39:06,680",تعالا وألقيا التحية,كاميليا وموني، تعالا إلى هنا
Stray Bullet,"00:50:29,400 --> 00:50:30,480",من؟,من تظن نفسك؟
Stray Bullet,"00:50:39,920 --> 00:50:42,680",لست أبي أنت لست أبي,من أعطاك الحق؟ من أعطاك هذا الحق؟
Stray Bullet,"00:54:45,360 --> 00:54:46,200",عساف,من يظن أنني مخطئ ليغادر منزلي أيضًا
Stray Bullet,"00:59:59,520 --> 01:00:00,480",أمي؟,أمي
The Salt of This Sea,"00:06:37,549 --> 00:06:38,379",أهو حبيبك ؟,إنه والدى
The Salt of This Sea,"00:08:52,789 --> 00:08:54,188",أم الشرايط ؟,رام الله ؟
The Salt of This Sea,"00:10:03,989 --> 00:10:06,264",كورين إننى هنا,لقد وصلت
The Salt of This Sea,"01:15:57,069 --> 01:15:59,629",أفتقدك جدا  متى سأراكِ ؟,غدا ؟ إذا أراك حينها
The Salt of This Sea,"01:16:14,349 --> 01:16:15,464",هل أنت بخير ؟,نعم إنى بخير
The Salt of This Sea,"01:36:24,869 --> 01:36:26,268",أليس معك رخصة ؟,ترجل من السيارة

movie_title,timestamp,speaker_id,dialogue,conversation_id
Where Do We Go Now?,"00:46:52,989 --> 00:46:55,100",Speaker_1,أنتِ هنا,b7e65a32-aa49-46db-8437-59433157b38b
Where Do We Go Now?,"00:46:55,101 --> 00:46:57,449",Speaker_2,أهلاً يا جارة، كيف الحال؟,b7e65a32-aa49-46db-8437-59433157b38b
Where Do We Go Now?,"00:46:57,484 --> 00:47:00,746",Speaker_1,الوضع فظيع، انها تجعلني أنام على الأرض,b7e65a32-aa49-46db-8437-59433157b38b
Where Do We Go Now?,"00:47:00,847 --> 00:47:02,340",Speaker_2,في المطبخ أيضاً,b7e65a32-aa49-46db-8437-59433157b38b
Where Do We Go Now?,"00:47:02,341 --> 00:47:05,199",Speaker_1,يمكنكي حفظ ملابسك في الثلاجة,b7e65a32-aa49-46db-8437-59433157b38b
Where Do We Go Now?,"00:47:05,200 --> 00:47:07,597",Speaker_2,نحصل على خدمة خمس نجوم هنا,b7e65a32-aa49-46db-8437-59433157b38b
Where Do We Go Now?,"00:47:07,698 --> 00:47:10,918",Speaker_1,اثنان من الخدم  سجائر,b7e65a32-aa49-46db-8437-59433157b38b
Where Do We Go Now?,"00:49:18,238 --> 00:49:20,078",Speaker_1,انظروا يا بنات,ee7e9eec-0456-4883-922a-646b5211ddb4
Where Do We Go Now?,"00:49:20,279 --> 00:49:22,375",Speaker_2,انها المدافن,ee7e9eec-0456-4883-922a-646b5211ddb4
Where Do We Go Now?,"00:49:22,376 --> 00:49:24,604",Speaker_1,للمسلمين و المسيحيين,ee7e9eec-0456-4883-922a-646b5211ddb4
Where Do We Go Now?,"00:49:24,605 --> 00:49:27,971",Speaker_2,عدد الأموات هنا أكبر من الأحياء انهم صغار السن,ee7e9eec-0456-4883-922a-646b5211ddb4
Where Do We Go Now?,"00:49:36,949 --> 00:49:38,818",Speaker_1,الصور الموجودة لرجال فقط,7fb9fb61-8786-4a8b-b2de-129f64dabec5
Where Do We Go Now?,"00:49:40,224 --> 00:49:42,363",Speaker_2,هذا يبدو كأنه ابن ايفون,7fb9fb61-8786-4a8b-b2de-129f64dabec5
Where Do We Go Now?,"00:49:42,710 --> 00:49:44,556",Speaker_1,حقاً؟,7fb9fb61-8786-4a8b-b2de-129f64dabec5
Where Do We Go Now?,"00:49:51,434 --> 00:49:54,503",Speaker_1,الآن عرفت لماذا هي مجنونة,037a3f9d-da21-438e-b676-dae5969c9a0f
Where Do We Go Now?,"00:49:54,504 --> 00:49:56,729",Speaker_2,يبدو جميلاً للغاية,037a3f9d-da21-438e-b676-dae5969c9a0f
Where Do We Go Now?,"00:49:57,398 --> 00:49:59,572",Speaker_1,ياله من وجه حسن,037a3f9d-da21-438e-b676-dae5969c9a0f
Where Do We Go Now?,"00:50:03,480 --> 00:50:04,825",Speaker_2,يال الخسارة,037a3f9d-da21-438e-b676-dae5969c9a0f
Where Do We Go Now?,"00:50:06,516 --> 00:50:08,220",Speaker_1,و أمهاتهم الغلابة,037a3f9d-da21-438e-b676-dae5969c9a0f
Where Do We Go Now?,"00:57:31,653 --> 00:57:33,194",Speaker_1,لقد قال مرحباً بكِ,27cf8ebe-ab2e-44a1-b41d-0e7dd0ac24c9
Where Do We Go Now?,"00:57:33,195 --> 00:57:34,979",Speaker_2,أشكرك كثيراً,27cf8ebe-ab2e-44a1-b41d-0e7dd0ac24c9
Where Do We Go Now?,"00:57:34,980 --> 00:57:37,159",Speaker_1,أنا متأكده أنه شاب جيد,27cf8ebe-ab2e-44a1-b41d-0e7dd0ac24c9
Where Do We Go Now?,"01:01:10,362 --> 01:01:12,114",Speaker_1,أهلاً، شباب,a14663cc-1b2a-4280-a8e1-0e8504b3910b
Where Do We Go Now?,"01:01:17,041 --> 01:01:18,620",Speaker_2,معذرةً,a14663cc-1b2a-4280-a8e1-0e8504b3910b
Where Do We Go Now?,"01:01:23,085 --> 01:01:26,550",Speaker_1,لا حاجة للوقوف أنا لا أريد ازعاجكم,a14663cc-1b2a-4280-a8e1-0e8504b3910b
Where Do We Go Now?,"01:01:26,551 --> 01:01:28,635",Speaker_2,أكملوا، شكراً,a14663cc-1b2a-4280-a8e1-0e8504b3910b
Where Do We Go Now?,"01:01:29,323 --> 01:01:30,818",Speaker_1,شكراً جزيلاً,a14663cc-1b2a-4280-a8e1-0e8504b3910b
Where Do We Go Now?,"01:01:33,191 --> 01:01:36,198",Speaker_2,كنت مصابة بالملل في غرفتي,a14663cc-1b2a-4280-a8e1-0e8504b3910b
Where Do We Go Now?,"01:01:37,185 --> 01:01:39,044",Speaker_1,يشرفني لقاءكم,a14663cc-1b2a-4280-a8e1-0e8504b3910b
Where Do We Go Now?,"01:01:41,430 --> 01:01:42,735",Speaker_2,كيف حالكم؟,a14663cc-1b2a-4280-a8e1-0e8504b3910b
Where Do We Go Now?,"01:01:43,000 --> 01:01:44,107",Speaker_1,مرحباً بكِ,a14663cc-1b2a-4280-a8e1-0e8504b3910b
Where Do We Go Now?,"01:01:44,269 --> 01:01:45,182",Speaker_2,شكراً,a14663cc-1b2a-4280-a8e1-0e8504b3910b
Where Do We Go Now?,"01:01:49,739 --> 01:01:52,272",Speaker_1,أيمكنك أن تصب لي بعض الماء؟,a14663cc-1b2a-4280-a8e1-0e8504b3910b
Where Do We Go Now?,"01:01:56,011 --> 01:01:59,206",Speaker_2,شكراً جزيلاً شكراً لك,a14663cc-1b2a-4280-a8e1-0e8504b3910b
Where Do We Go Now?,"01:02:26,684 --> 01:02:29,504",Speaker_1,حسناً يا شباب عليَّ الذهاب الآن,2be4315a-6a14-4125-b18f-b9b686303421
Where Do We Go Now?,"01:02:29,756 --> 01:02:31,804",Speaker_2,سعدت بالتحدث إليكم,2be4315a-6a14-4125-b18f-b9b686303421
Where Do We Go Now?,"01:02:32,126 --> 01:02:34,366",Speaker_1,شكراً، لا ، لا ، اجلسوا ، أنتم,2be4315a-6a14-4125-b18f-b9b686303421
Where Do We Go Now?,"01:02:34,751 --> 01:02:36,362",Speaker_2,لا حاجة للوقوف,2be4315a-6a14-4125-b18f-b9b686303421
Where Do We Go Now?,"01:02:36,902 --> 01:02:39,900",Speaker_1,تشرفت بلقاءكم  شكراً  مرحباً,2be4315a-6a14-4125-b18f-b9b686303421
Where Do We Go Now?,"01:02:40,244 --> 01:02:41,677",Speaker_2,طاب مساؤكم  شكراً,2be4315a-6a14-4125-b18f-b9b686303421
Where Do We Go Now?,"01:02:41,678 --> 01:02:43,121",Speaker_1,أراكم قريباً,2be4315a-6a14-4125-b18f-b9b686303421
Where Do We Go Now?,"01:02:43,252 --> 01:02:45,353",Speaker_2,شكراً  مع السلامة,2be4315a-6a14-4125-b18f-b9b686303421
Where Do We Go Now?,"01:19:12,294 --> 01:19:14,232",Speaker_1,ماذا تفعلون؟,ab58b76f-6618-4922-a46d-a2bf39e7d45f
Where Do We Go Now?,"01:19:14,729 --> 01:19:17,488",Speaker_2,لا يجب أن تجلسوا هنا هل جننتم؟,ab58b76f-6618-4922-a46d-a2bf39e7d45f
Where Do We Go Now?,"01:19:19,313 --> 01:19:21,329",Speaker_1,اهدأ  خذ هذه؟  لا أريد شيء,ab58b76f-6618-4922-a46d-a2bf39e7d45f
Where Do We Go Now?,"01:19:21,330 --> 01:19:22,330",Speaker_2,لماذا؟,ab58b76f-6618-4922-a46d-a2bf39e7d45f
Where Do We Go Now?,"01:19:22,331 --> 01:19:27,837",Speaker_1,الوضع غير مستقر هنا جُن جنون الجميع، ضرب فيوزهم,ab58b76f-6618-4922-a46d-a2bf39e7d45f
Where Do We Go Now?,"01:19:29,194 --> 01:19:31,417",Speaker_2,حسناً ماذا؟  أتعتقد أن من الأفضل أن نغادر؟,ab58b76f-6618-4922-a46d-a2bf39e7d45f
Where Do We Go Now?,"01:19:31,418 --> 01:19:33,290",Speaker_1,لقد تعاقدوا معنا لأسبوع,ab58b76f-6618-4922-a46d-a2bf39e7d45f
Where Do We Go Now?,"01:19:33,291 --> 01:19:37,492",Speaker_2,انهم يعتمدون علينا؟  سنبقي هنا مهما حدث,ab58b76f-6618-4922-a46d-a2bf39e7d45f
Where Do We Go Now?,"01:19:37,493 --> 01:19:41,960",Speaker_1,حسناً ، كما تريدون لكنهم لن يدفعوا اليكم أى مال,ab58b76f-6618-4922-a46d-a2bf39e7d45f
Where Do We Go Now?,"01:19:41,961 --> 01:19:45,084",Speaker_2,أووه نحن خائفات  مرعوبات,ab58b76f-6618-4922-a46d-a2bf39e7d45f
Where Do We Go Now?,"01:19:46,491 --> 01:19:47,191",Speaker_1,مع السلامة,ab58b76f-6618-4922-a46d-a2bf39e7d45f
Where Do We Go Now?,"01:23:02,985 --> 01:23:05,056",Speaker_1,افرميها، اقليها,ccc71513-6c88-41f7-89c8-403d7f7cea1c
Where Do We Go Now?,"01:23:05,057 --> 01:23:07,060",Speaker_2,احشيها، لفيها,ccc71513-6c88-41f7-89c8-403d7f7cea1c
Where Do We Go Now?,"01:23:07,061 --> 01:23:10,362",Speaker_1,اخلطيها، زينيها و ضعيها في الفرن,ccc71513-6c88-41f7-89c8-403d7f7cea1c
Where Do We Go Now?,"01:25:56,886 --> 01:25:59,893",Speaker_1,هل تحبني؟  هل؟ هل؟,57e3426e-cf35-46b4-b917-62a88fb67ccc
Where Do We Go Now?,"01:26:00,188 --> 01:26:02,811",Speaker_2,هل تحتاجني؟  هل؟ هل؟,57e3426e-cf35-46b4-b917-62a88fb67ccc
Where Do We Go Now?,"01:26:03,112 --> 01:26:05,758",Speaker_1,هل تريدني؟  هل؟ هل؟,57e3426e-cf35-46b4-b917-62a88fb67ccc
Where Do We Go Now?,"01:26:06,146 --> 01:26:08,982",Speaker_2,هل؟ هل؟ هل؟ هل؟,57e3426e-cf35-46b4-b917-62a88fb67ccc
Where Do We Go Now?,"01:26:08,983 --> 01:26:11,671",Speaker_1,هل تحبني؟  هل؟ هل؟,57e3426e-cf35-46b4-b917-62a88fb67ccc
Where Do We Go Now?,"01:26:11,997 --> 01:26:14,700",Speaker_2,هل تريدني؟  هل؟ هل؟,57e3426e-cf35-46b4-b917-62a88fb67ccc
Where Do We Go Now?,"01:26:15,065 --> 01:26:17,948",Speaker_1,هل تريدني؟  هل؟ هل؟,57e3426e-cf35-46b4-b917-62a88fb67ccc
Where Do We Go Now?,"01:26:17,949 --> 01:26:21,193",Speaker_2,هل؟ هل؟ هل؟ هل؟,57e3426e-cf35-46b4-b917-62a88fb67ccc
Al Hayba (S5E1),"00:00:14,640 --> 00:00:21,760",Speaker_1,عندما تصبح القسوة نوعاً من الكرامة,4dea8556-e730-41b5-8302-02c21475e72c
Al Hayba (S5E1),"00:00:22,840 --> 00:00:29,440",Speaker_2,فأنا مجبر أن أقسى,4dea8556-e730-41b5-8302-02c21475e72c
Al Hayba (S5E1),"00:00:29,760 --> 00:00:34,880",Speaker_1,سامحيني على القسوة سلفاً,4dea8556-e730-41b5-8302-02c21475e72c
Al Hayba (S5E1),"00:00:35,200 --> 00:00:38,280",Speaker_2,فأنا مجبر الآن,4dea8556-e730-41b5-8302-02c21475e72c
Al Hayba (S5E1),"00:00:38,400 --> 00:00:43,760",Speaker_1,أن أقف مع جروحي طرفاً,4dea8556-e730-41b5-8302-02c21475e72c
Al Hayba (S5E1),"00:00:45,840 --> 00:00:51,920",Speaker_2,أعرف أن عندي ماضياً ونقطاً سوداء لا تُعد,4dea8556-e730-41b5-8302-02c21475e72c
Al Hayba (S5E1),"00:00:52,080 --> 00:00:58,440",Speaker_1,وأنني فعلت أشياء لم تسمعي عنها بعد,4dea8556-e730-41b5-8302-02c21475e72c
Al Hayba (S5E1),"00:00:58,600 --> 00:01:04,120",Speaker_2,أعرف أن عندي ماضياً ونقطاً سوداء لا تُعد,4dea8556-e730-41b5-8302-02c21475e72c
Al Hayba (S5E1),"00:01:04,680 --> 00:01:10,640",Speaker_1,وأنني فعلت أشياء لم تسمعي عنها بعد,4dea8556-e730-41b5-8302-02c21475e72c
Al Hayba (S5E1),"00:01:10,760 --> 00:01:17,000",Speaker_2,أكثر ناس عرفوا الصواب هم من ارتكبوا الخطأ,4dea8556-e730-41b5-8302-02c21475e72c
Al Hayba (S5E1),"00:01:17,120 --> 00:01:23,280",Speaker_1,فكري جيداً عندما تضعين على حروف حبنا النقاط,4dea8556-e730-41b5-8302-02c21475e72c
Al Hayba (S5E1),"00:01:23,400 --> 00:01:29,640",Speaker_2,أكثر ناس عرفوا الصواب هم من ارتكبوا الخطأ,4dea8556-e730-41b5-8302-02c21475e72c
Al Hayba (S5E1),"00:01:29,760 --> 00:01:35,920",Speaker_1,أكثر ناس عرفوا الصواب هم من ارتكبوا الخطأ,4dea8556-e730-41b5-8302-02c21475e72c
Al Hayba (S5E1),"00:01:36,040 --> 00:01:42,200",Speaker_2,فكري جيداً عندما تضعين على حروف حبنا النقاط,4dea8556-e730-41b5-8302-02c21475e72c
Al Hayba (S5E1),"00:01:42,320 --> 00:01:49,320",Speaker_1,أكثر ناس عرفوا الصواب هم من ارتكبوا الخطأ,4dea8556-e730-41b5-8302-02c21475e72c
Al Hayba (S5E1),"00:02:17,320 --> 00:02:20,440",Speaker_1,نحن مجموعة تجارب,8a39cdff-0eaf-4ea3-8b84-a56ebd1721dc
Al Hayba (S5E1),"00:02:20,560 --> 00:02:26,480",Speaker_2,ويجب أن نقرأ جميع الناس حتى نجيب,8a39cdff-0eaf-4ea3-8b84-a56ebd1721dc
Al Hayba (S5E1),"00:02:26,840 --> 00:02:30,000",Speaker_1,يجب أن نُحاسَب ونحاسِب,8a39cdff-0eaf-4ea3-8b84-a56ebd1721dc
Al Hayba (S5E1),"00:02:30,120 --> 00:02:36,320",Speaker_2,ونمر بالشدة كي نعرف من هو الصديق,8a39cdff-0eaf-4ea3-8b84-a56ebd1721dc
Al Hayba (S5E1),"00:02:36,440 --> 00:02:39,440",Speaker_1,نحن مجموعة تجارب,8a39cdff-0eaf-4ea3-8b84-a56ebd1721dc
Al Hayba (S5E1),"00:02:39,560 --> 00:02:45,480",Speaker_2,ويجب أن نقرأ جميع الناس حتى نجيب,8a39cdff-0eaf-4ea3-8b84-a56ebd1721dc
Al Hayba (S5E1),"00:02:45,720 --> 00:02:48,840",Speaker_1,يجب أن نُحاسَب ونحاسِب,8a39cdff-0eaf-4ea3-8b84-a56ebd1721dc
Al Hayba (S5E1),"00:02:48,960 --> 00:02:54,840",Speaker_2,ونمر بالشدة كي نعرف من هو الصديق,8a39cdff-0eaf-4ea3-8b84-a56ebd1721dc
Al Hayba (S5E1),"00:02:54,960 --> 00:03:01,160",Speaker_1,أكثر ناس عرفوا الصواب هم من ارتكبوا الخطأ,8a39cdff-0eaf-4ea3-8b84-a56ebd1721dc
Al Hayba (S5E1),"00:03:01,280 --> 00:03:07,480",Speaker_2,فكري جيداً عندما تضعين على حروف حبنا النقاط,8a39cdff-0eaf-4ea3-8b84-a56ebd1721dc
Al Hayba (S5E1),"00:03:07,600 --> 00:03:13,800",Speaker_1,أكثر ناس عرفوا الصواب هم من ارتكبوا الخطأ,8a39cdff-0eaf-4ea3-8b84-a56ebd1721dc
Al Hayba (S5E1),"00:03:13,920 --> 00:03:20,040",Speaker_2,أكثر ناس عرفوا الصواب هم من ارتكبوا الخطأ,8a39cdff-0eaf-4ea3-8b84-a56ebd1721dc
